Tweet,Over-all_Complaint Label,Cause,Sentiment,Emotion,,,,,,,,,Complaint_Cause,Sentiment,Emotion
"RT @ProfitsTaken: Calendar Of Important Stock Market events to watch this week

I've highlighted a few of interest, with CPI on Wednesday .",0,No-Cause,Neutral,other,,,,,,,,,,,
Unleashing the Power of Chat GPT in the Stock Market!,0,No-Cause,Positive,Other,,,,,,,,,,,
"Harnessing the Potential of ChatGPT in the Stock Market! ???? Unlocking Insights, Trends, and Strategies.",0,No-Cause,Positive,Other,,,,,,,,,,,
"Discover the Future of Stock Market Engagement with ChatGPT! ???? Personalized Insights, Quick Analysis, and Informed Decision-making at Your Fingertips.",0,No-Cause,Positive,Other,,,,,,,,,,,
The stock market is a financial redistribution system. It takes money away from those who have no patience.,0,No-Cause,Neutral,Other,,,,,,,,,,,
"LUCKKYNAG @StocksTreasures I will stop here - if you need to learn stock market, learn from authorised platforms .",0,No-Cause,Neutral,Other,,,,,,,,,,,
"Dolan's bet has worked out so far in stock performance.

Since SPHR's spin-off on the stock market, the price is up.",0,No-Cause,Positive,Happy,,,,,,,,,,,
Incredible news Bloomberg officially named the Pakistan Stock Exchange (PSX) the world's best-performing market.,0,No-Cause,Positive,Happy,,,,,,,,,,,
Target has lost $15 billion in market .,1,Target has lost $15 billion in market,Negative,Sad,,,,,,,,,,,
RT @EpochTimes: #Unilever stock lost about $2 billion in market capitalization amid calls to boycott #BenAndJerrys ice cream after the comic.,1,Unilever stock lost about $2 billion in market capitalization amid calls to boycott #BenAndJerrys ice cream after the comic,Negative,Sad,,,,,,,,,,,
"RT @ImMeme0: Bud Light parent Anheuser-Buschâ€™s stock has lost $27B over Dylan Mulvaney ad fiasco 

Target has lost $15 billion in market vaâ€¦",1,"Anheuser-Buschâ€™s stock has lost $27B over Dylan Mulvaney ad fiasco 
",Negative,Sad,,,,,,,,,,,
"RT @ImMeme0: Bud Light parent Anheuser-Buschâ€™s stock has lost $27B over Dylan Mulvaney ad fiasco 

Target has lost $15 billion in market vaâ€¦",1,"Anheuser-Buschâ€™s stock has lost $27B over Dylan Mulvaney ad fiasco 
",Negative,Sad,,,,,,,,,,,
"RT @ImMeme0: Bud Light parent Anheuser-Buschâ€™s stock has lost $27B over Dylan Mulvaney ad fiasco 

Target has lost $15 billion in market vaâ€¦",1,"Anheuser-Buschâ€™s stock has lost $27B over Dylan Mulvaney ad fiasco 
",Negative,Sad,,,,,,,,,,,
"RT @SJosephBurns: My Favorite Stock Market Movies:

1. The Big Short
2. Margin Call 
3. Wall Street 
4. Trading Places
5. The Inside Job",0,No-Cause,Neutral,Happy,,,,,,,,,,,
"RT @HAMShortkiller: $FNGR $GTII   Cant hold stocks down forever 
shorts quitting .https://t.co/ezWzND1ep0",0,No-Cause,Neutral,Other,,,,,,,,,,,
"Some Similarities between this Game & Stock Market!! 
#StockMarket https://t.co/fS1OSquqOn",0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @chartians: 95% of the traders lose money in the stock market because they don't have a proper trading setup.

Here is a simple cash track.",0,No-Cause,Neutral,Other,,,,,,,,,,,
RT @MarcMiddle: @iluminatibot My guess - BlackRock and Vanguards move will be pulling all of the money out of the stock market at the same.,1,BlackRock and Vanguards move will be pulling all of the money out of the stock market at the same,Negative,Sad,,,,,,,,,,,
RT @blogwig: @PeteSessions Please restore shareholders faith in the stock market and bring the corruption to an end in the markets.,0,No-Cause,Neutral,Sad,,,,,,,,,,,
"July 7, 2023

U.S. Crude Hits Its Highest Price Since May

https://t.co/oQFOqThSbJ",0,No-Cause,Neutral,Other,,,,,,,,,,,
RT @ior5777: Cookie clicker has in a game stock market this game is really crazy,0,No-Cause,Positive,Happy,,,,,,,,,,,
RT @Loui__91: @PeteSessions @PeteSessions Thank u for giving your time to fellow mmtlp members. Unfortunately no one in California will take.,0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @Atulsingh_asan: Stock market is a place of regrets

-When you don't make MONEY, 
After buying stock go down

You REGRET.",1,"Stock market is a place of regrets
When you don't make MONEY, 
After buying stock go down",Negative,Sad,,,,,,,,,,,
"RT @Abd__Al_Karim: The #CommunistMale is a billionaire. He has completely understood and mastered the laws of Capital. 
He can spawn money.",0,No-Cause,Negative,other,,,,,,,,,,,
RT @richardturrin: How #AI reshapes the economy:  massive upheaval is coming for the job market and overzealous investors are fueling .,0,No-Cause,Positive,Happy,,,,,,,,,,,
"Buy  40*80 each 80k that's 160k,  the rest buy treasury bond , 100k, stock market 140k , 100k personal use https://t.co/gGWUt3cxml",0,No-Cause,Neutral,Other,,,,,,,,,,,
"Such an eye opening video about Stock Market !

Must watch it for every trader and Investor in India. https://t.co/uwSrbZVLqa",0,No-Cause,Neutral,Other,,,,,,,,,,,
"Valuation is used to determine the market value of your property and assets

The property can be residential.",0,No-Cause,Neutral,Other,,,,,,,,,,,
RT @MarcMiddle: @iluminatibot My guess - BlackRock and Vanguards move will be pulling all of the money out of the stock market at the same time.,1, BlackRock and Vanguards move will be pulling all of the money out of the stock market at the same time,Negative,Sad,,,,,,,,,,,
RT @HimankAgrawal15: Biggest wealth in this world mostly comes from owning a business. Investing in the stock market helps you own a business.,0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @buzzmateapp: Start earning on new generation social media

How does BuzzMate work?  

https://t.co/diqFyyelt0

#Crypto #Cryptocurrency",0,No-Cause,Neutral,Other,,,,,,,,,,,
"Invest smarter with Unocoin's Systematic Buying Plan. Set your investment amount, choose the frequency.",0,No-Cause,Neutral,Other,,,,,,,,,,,
RT @KryptoKombat: Which will have the highest 7 day percentage gain on July 15th 2023? #DOGE #XRP #XRParmy #XRPHolder #crypto,0,No-Cause,Neutral,Other,,,,,,,,,,,
" I'm Langwallet, a cryptocurrency wallet that uses natural language processing. I can interpret you. https://t.co/6qHIsVWTfQ",0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @cryptolitico:  $27.500.000 of #shorts liquidated in the last 24h on #Bitcoin -

#cryptocurrency #binance #cryptotrading #Crypto",0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @buzzmateapp: Meet BuzzMate

Socialize and earn crypto

https://t.co/diqFyyelt0

#bnb #btc #bitcoin #binance #bsc #PancakeSwap #gemproject",0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @GarysCreamTeam: $CREAM  
Crypto Rules Everything Around Me  
@CoinMarketCap  
listing .",0,No-Cause,Positive,Happy,,,,,,,,,,,
thecryptomonk Just saw that #Bitcoin hit a new all-time high! It's exciting to see the growth of cryptocurrency.,0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @cryptolitico: # Bitcoin Max Pain around $30200
Will the market clean the over-leveraged (as usual) before going up again ?",0,No-Cause,Neutral,Cautious,,,,,,,,,,,
"RT @Aheakpld24: SHIB2.0:  If you miss SHIB and PEPE, then SHIB2.0 is your wisest choice .",0,No-Cause,Neutral,Other,,,,,,,,,,,
#website #crypto #business #news #website #NewsUpdate #cryptocurrency #businesses #makemoney #b2b #socialmedia,0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @buzzmateapp: BuzzMate Airdrop continues at full speed

Haven't you received your share of 50 million BZM yet?",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @buzzmateapp: Meet the new generation social media application. BuzzMate

It is a next generation social media app that encourages users to invest.",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @ajcartel_17: Let us get #Saitama trending
Everyone make tweets and post using the #Saitama and #SaitamaToOneDollar hashtag .",0,No-Cause,Positive,Other,,,,,,,,,,,
" It's tough challenge 

#Threads #cryptocurrency #Crypto",1,tough challenge ,Negative,Other,,,,,,,,,,,
"RT @GarysCreamTeam: $CREAM  
Crypto Rules Everything Around Me  ",0,No-Cause,Neutral,Other,,,,,,,,,,,
"Exciting times in crypto!  More companies embracing #Bitcoin as a payment method, increased institutional interest.",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @ChirpDeWi: While others promise, #ChirpDeWi delivers! We're thrilled to announce the shipment of our first batch of #miners to 33 countries.	 ",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @Crypto_girl321: What could be the potential price of #PiNetwork  in OPEN MAINNET?

$25 = Like
$314 = Retweet
$314,159 = comment

#Piâ€¦",0,No-Cause,Neutral,Others,,,,,,,,,,,
"RT @DucThu82: Nicolas is Satoshi, believe it or not!
Here's what Satoshi said in 2010: ""10 years from now I'll make a better and faster crypto""",0,No-Cause,Neutral,Others,,,,,,,,,,,
"RT @zkSwap_finance: 6 Hours Left to Think!
'Til 12:00 UTC, Today 6th July!

ðŸ“” $105,000+ Staked
ðŸ“” 5700+ NFT Minted
ðŸ¡  https://t.co/LUbUg2jWNâ€¦",0,No-Cause,Neutral,Others,,,,,,,,,,,
RT @YahooNews: The cryptocurrency industry built a cultlike fan base in the U.S. by promising to break Wall Street and Washington's grip .,0,No-Cause,Positive,Happy,,,,,,,,,,,
Minting your NFT is completely free! You don't need to complete any social tasks.,0,No-Cause,Positive,Others,,,,,,,,,,,
"RT @buzzmateapp: BuzzMate Airdrop continues at full speed

Haven't you received your share of 50 million BZM yet?

Join too https://t.co/",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @MKjrstad: #Bitcoin Cash is big in Saint Kitts and Nevis.

#BitcoinCash $BCH #crypto #cryptocurrency https://t.co/LLxxHf2TVp",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @DefiVampire: Do you possess the readiness to unleash your trading expertise? 
Will you venture into the exhilarating realm of decent",0,No-Cause,Positive,Other,,,,,,,,,,,
RT @YahooNews: The cryptocurrency industry built a cultlike fan base in the U.S. by promising to break Wall Street and Washington's grip .,0,No-Cause,Positive,Happy,,,,,,,,,,,
GCS cryptocurrency mining platform. Earn up to $60 per day by renting mining machines. Invite friends to get various perks,0,No-Cause,Positive,Other,,,,,,,,,,,
"Get ready to join Coinbond revolutionary with top exchange listing!

https://t.co/ndQWaOyvPv

#CoinbondCBD https://t.co/WOPuhMcQy9",0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @Hashfair_Games:Hashfair Games Airdrop is live!
Reward for Tasks:   Up to $15 worth of HFG
",0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @coingecko: A fair launch ensures an equal distribution of a cryptocurrency token at launch, preventing insider trading and price manipulaton.",0,No-Cause,Positive,Happy,,,,,,,,,,,
The cryptocurrency industry built a cultlike fan base in the U.S. by promising to break Wall Street and Washington's grip.,0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @ku2k22: Our System is rigged, only #Crypto is Worthy.",1,System is rigged,Negative,Sad,,,,,,,,,,,
"RT @buzzmateapp: BuzzMate closed beta testing completed.

It's meeting you this month.

Detailed information: https://t.co/diqFyyeTiy",0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @ZohrabMarkaria2: GroveCoin (GRV): A Green Cryptocurrency Bridging Prosperity With Environmental Stewardship

GroveCoin, the front-runner.",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @USA87500790: pi should be used as a super-sovereign international new cryptocurrency, linking national legal digital currencies.",0,No-Cause,Neutral,Other,,,,,,,,,,,
"In Joe Biden's speech on Bidenonomics, he said: ""We will achieve fairness by eliminating misconduct by cryptocurrency.",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @BigDott50: Join Ice Network &  Mine Free, Own Blockchain Project .

https://t.co/xkLWGRwLz4

#iceNetwork #SidraFamily #Crâ€¦",0,No-Cause,Neutral,Others,,,,,,,,,,,
"RT @jirawan_pang: @CryptnomicsOrg Bitcoin dominance reaches new heights as it surpasses $60,000 mark #cryptocurrency #bitcoin",0,No-Cause,Positive,Happy,,,,,,,,,,,
Calistocks20 @truthsleuth23 @jamescfox I don't want to spend too much time on it. UFOs are are only one of my threat https://t.co/J1He7EJAN6,0,No-Cause,Neutral,Others,,,,,,,,,,,
RT @CryptoHulk19: BOMBSHELLâ€¦GLOBAL BANKING CRYPTO PROJECT CHOSEN US FED RESERVE INVOLVED HERE ALSO.   #BREAKING #XRP #XLM #XDC #ALGO #Quant,0,No-Cause,Neutral,Others,,,,,,,,,,,
"RT @MKjrstad: #Bitcoin Cash is big in Saint Kitts and Nevis

#BitcoinCash $BCH #crypto #cryptocurrency https://t.co/LLxxHf2TVp",0,No-Cause,positive,Happy,,,,,,,,,,,
"RT @nftinspect:  Exciting news! 

We're thrilled to announce our partnership with @moonpay. 

This collaboration will empower Twitter users.",0,No-Cause,positive,Happy,,,,,,,,,,,
"Morning #Crypto enthusiasts in sunny #Copenhagen!  Bit of broken clouds today. In the crypto world, #Bitcoin .",0,No-Cause,positive,Happy,,,,,,,,,,,
RT @SatoshiFlipper: #Chainlink is the most undervalued cryptocurrency in the world rn @ $6,0,No-Cause,Neutral,Others,,,,,,,,,,,
"Binance Good morning #Binance 

#Crypto #cryptocurrency",0,No-Cause,positive,Others,,,,,,,,,,,
A teacher in El Salvador is revolutionizing the cryptocurrency game!,0,No-Cause,Positive,Others,,,,,,,,,,,
"A fair launch ensures an equal distribution of a cryptocurrency token at launch, preventing insider trading and pricing.",0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @RagnarShiba: #Shiba Inu And Its Sister Coin #BONE Rally Into The Weekend  What's Driving The Upside.

https://t.co/Ir785wUU0W",0,No-Cause,Neutral,Others,,,,,,,,,,,
RT @CoinSender: Hello everyone! We are happy to announce that CoinSender has been added to the ecosystem by @auroraisnear.,0,No-Cause,Neutral,Others,,,,,,,,,,,
"RT @aidoge  AIDOGE 2.0 Airdrop is live!

Reward for Tasks:  $16 worth of AIDOGE2.0 for 3000 random participants each.
",0,No-Cause,Neutral,Others,,,,,,,,,,,
#Bitcoin Under $27k As Short-Term Holders Lock Record Profits,0,No-Cause,Negative,Others,,,,,,,,,,,
"RT @tumbin3842: analysis #OmegaNetwork #OMN #Cryptocurrency
Cryptocurrency for everyday people fueling the world.",0,No-Cause,Positive,Others,,,,,,,,,,,
"RT @Panterabch: Earn ONE MILLION DOLLARS In Bitcoin Cash With Cashrain! 

https://t.co/iYo3TVaXdP

#Cashrain #Cryptocurrency #Bitcoincash",0,No-Cause,Neutral,Others,,,,,,,,,,,
"RT @buzzmateapp: BuzzMate Airdrop continues at full speed

Haven't you received your share of 50 million BZM yet?

Join too https://t.co/n",0,No-Cause,Neutral,Others,,,,,,,,,,,
Just saw that #Bitcoin hit a new all-time high! It's exciting to see the growth of cryptocurrency.,0,No-Cause,Positive,Happy,,,,,,,,,,,
"RT @NotBadBit: I used to think HODL stood for 'hold on for dear life', but now I realize it really means 'hold on during losses' ",0,No-Cause,Neutral,Others,,,,,,,,,,,
@CryptoCapo_ @CryptoDonAlt Just in: Bitcoin hits new all-time high! #cryptocurrency,0,No-Cause,Positive,Happy,,,,,,,,,,,
"Trending coins right now:
7) $PENDLE - Pendle (#292)

Trending coins by popularity:
1) $PEPE2.0 (#397)
2) $PEPE ",0,No-Cause,Positive,Others,,,,,,,,,,,
"RT @MountainSea2022:Attention! 
  $MAW is currently trading at 10X the opening price after listing on #Camelot! 

",0,No-Cause,Positive,Others,,,,,,,,,,,
"RT @SilntSae: @CryptoDonAlt @KiyayYippee ""Recent crypto stuff: Bitcoin hits all-time high of $63,000 as more institutional investors adopt.",0,No-Cause,Positive,Others,,,,,,,,,,,
@andrewschulz Crypto market sees major surge as Bitcoin jumps to over $60k  #cryptocurrency #bitcoin,0,No-Cause,Positive,Others,,,,,,,,,,,
What Is Sweatcoin?  #CryptoCurrency #Crypto #CryptoTwitter,0,No-Cause,Neutral,Others,,,,,,,,,,,
RT @shangdolly07: Hello cryptocurrency fans! The moment has come to gather unreleased tokens. Why are you being obstinate?,1, frustration or annoyance with the readers for not taking action to gather unreleased tokens,Negative,Others,,,,,,,,,,,
Ask @CoinsReveal about your favourite crypto project and buy at @WazirXIndia https://t.co/mojVCM1Y5M,0,No-Cause,Neutral,Others,,,,,,,,,,,
"RT @Hashfair_Games:Hashfair Games Airdrop is live!
Reward for Tasks:   Up to $15 worth of HFG.",0,No-Cause,Neutral,Others,,,,,,,,,,,
"RT @Hype_lfg: Gm peeps, don't hate HYPEy for taking over your internet. 

We're here to lighten up the mood & brighten up your day!",0,No-Cause,Neutral,Others,,,,,,,,,,,
"Bitcoin Price Forecast Next Week: Will US CPI Push BTC Price Above $31,500 Or Plunge Below $30K? ",0,No-Cause,Neutral,Others,,,,,,,,,,,
"RT @zkSwap_finance: 6 Hours Left to Think!
'Til 12:00 UTC, Today 6th July!

ðŸ“” $105,000+ Staked
ðŸ“” 5700+ NFT Minted
ðŸ¡  https://t.co/LUbUg2jWNâ€¦",0,No-Cause,Positive,Others,,,,,,,,,,,
Kinda isn't the point when they have played in tournaments and robbed people of money ? Understandable.,1,they have played in tournaments and robbed people of money ?,Negative,Others,,,,,,,,,,,
"RT @erythrocloud: this is why you can never question why japan always gets a schedule, be it fanmeet, concert or festival. more than the price.",1," japan always gets a schedule, be it fanmeet, concert or festival. more than the price",Negative,Sad,,,,,,,,,,,
"RT @PopBase: BLACKPINK accounts for more than 85% of YG Entertainment's operating profit, Hyundai Motor Securities reports. https://t.co/Hw.",0,No-cause,Positive,Happy,,,,,,,,,,,
"RT @PaulJ_trading: Can an indicator make you a trader? NO !

But a good indicator can ease the work of a trader and increase profit.",0,No-cause,Neutral,Other,,,,,,,,,,,
RT @Charpy73: @POTUS @NRA https://t.co/nYJVL4YAai It's our fault not those that profit off you guns.,0,No-cause,Negative,Sad,,,,,,,,,,,
"RT @HemadriInc: Anybody can trade with us, using our Algo. It requires opening account through the link we share. There are no charges .",0,No-cause,Positive,other,,,,,,,,,,,
"Step 1. Play otello at a party and get hooked
Step 2. Install on phone
Step 3. Play until you win against the level.",0,No-cause,Neutral,Other,,,,,,,,,,,
RT @NateB_Panic: This case reveals what many of us suspected but haven't seen confirmed in so many words.,0,No-cause,Positive,Other,,,,,,,,,,,
"Watched this item - sympathetic at first, until it was clear they were a growing industry producing  .",0,No-cause,Positive,Other,,,,,,,,,,,
@ApeawConner @alice_hi3 @McTatari I had no idea that Ethereum developers had access to these types of stocks.,0,No-cause,Neutral,Other,,,,,,,,,,,
"RT @marionumber4:�Capitalism is freedom""

Also capitalism: �we will convict you for no reason so private prisons can make a profit",1,capitalism will convict you for no reason so private prisons can make a profit,Negative,Sad,,,,,,,,,,,
"While NHS is struggling to survive, staff sick and over worked, underpaid, Big pharma parasite seeking more profit!",1,"staff sick and over worked, underpaid",Negative,Sad,,,,,,,,,,,
People become champ in 1 month is stock market. After 3 decades I am still learning and never call myself Guru.,1,Criticicing people because I am still learning and never call myself Guru. while others become champ in 1 month of stock market,Negative,Sad,,,,,,,,,,,
"RT @CasualtyWar: Important article =. Golden rule of trading: ATP, meaning ALWAYS TAKE PROFIT. 

Doesn't mean sell your whole .",0,No-Cause,Neutral,Other,,,,,,,,,,,
RT @soniasodha: We shouldn't have profit-driven children's homes for children in care in the UK. End of discussion.,1,We shouldn't have profit-driven children's homes for children in care in the UK,Negative,Other,,,,,,,,,,,
@steffanlongdon @WalshFreedom What's wrong with the daughter and son in law being advisers?,0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @Obsido1: Revenue share estimates: 

Gen0 and Gen1 are both indicated to attract a 50% Profit Net rev share from the Dope shop .",0,No-Cause,Neutral,Other,,,,,,,,,,,
"RT @CClaimsWatch: The #Amazon rainforest's worth is questioned, with lifeless logs priced higher than vertical trees. ",1, lifeless logs priced higher than vertical trees,Negative,Other,,,,,,,,,,,
"RT @julianHjessop: FYI, Forbes publishes an annual ranking of the top 2000 public companies worldwide, based on a weighted measure of sales.",0,No-Cause,Neutral,Other,,,,,,,,,,,
RT @jonesier: George Osborne was the driving force behind Royal Mail sell off. At the time 16 priority investors were created.,0,No-Cause,Neutral,Other,,,,,,,,,,,
RT @paullewismoney: 18th century heritage in danger as it fails to make a profit https://t.co/sA96xRU1cT,1,18th century heritage in danger as it fails to make a profit,Negative,Other,,,,,,,,,,,
Binance Futures $DYDX/ $USDT All take-profit targets achieved.,0,No-Cause,Positive,Happy,,,,,,,,,,,
RT @dealerdefi:  I checked the entire history of the wallet; it started with just a few hundred dollars.,0,No-Cause,Positive,other,,,,,,,,,,,
"RT @PureBloodKiwi: The reality about this war on women, is these large corporations really don't give a single toss about trans people.",1,large corporations really don't give a single toss about trans people,Negative,Sad,,,,,,,,,,,
"Get in, fellow nerds. In a few minutes, we're going to raid a friend's stream and try to help them break 100 viewers.",0,No-Cause,Neutral,Other,,,,,,,,,,,
